UserId,No Of Abuse Report,No Of Rejected Friend Requests,No Of Friend Requests Thar Are Not Accepted,No Of Friends,No Of Followers,No Of Likes To Unknown Account,No Of Comments Per Day,Fake Or Not Category
2483,270,911,946,400,811,686,252,0
2484,557,529,349,495,769,44,52,1
2485,752,693,763,783,699,530,472,1
2486,649,129,348,677,664,766,38,0
2487,276,913,40,797,642,8,474,1
2488,306,814,781,759,220,789,377,0
2489,43,301,563,674,200,744,789,0
2490,688,940,671,136,633,581,963,0
2491,752,648,30,377,345,473,584,1
2492,0,843,965,429,400,304,761,1
2493,852,580,422,242,411,551,654,1
2494,942,821,607,276,669,676,737,0
2495,156,106,42,381,940,854,632,1
2496,103,361,564,836,245,865,37,0
2497,215,838,897,655,364,980,759,1
2498,70,310,650,149,742,807,691,1
2499,200,317,833,186,380,709,60,1
2500,883,290,681,484,616,180,94,0
2501,102,639,928,692,158,939,562,0
2502,431,396,828,312,880,741,257,1
2503,743,345,524,243,682,557,628,0
2504,941,371,530,684,776,212,746,0
2505,454,893,716,722,443,160,546,1
2506,314,751,205,648,571,430,481,1
2507,562,16,66,258,271,402,238,0
2508,94,422,712,713,19,139,454,1
2509,284,289,927,560,230,236,512,1
2510,681,637,827,552,506,344,37,1
2511,383,756,24,713,323,876,663,1
2512,399,799,375,901,70,372,886,1
2513,818,102,351,861,62,175,467,0
2514,276,379,293,397,645,593,859,1
2515,79,386,540,322,914,368,476,1
2516,435,474,890,409,635,235,877,1
2517,36,681,850,496,923,417,244,1
2518,456,613,280,651,259,30,184,1
2519,880,522,599,420,784,473,574,1
2520,588,249,241,263,670,881,254,1
2521,990,403,527,334,411,466,570,1
2522,883,890,524,346,980,85,220,1
2523,209,480,897,542,686,936,556,0
2524,173,50,702,339,123,452,2,1
2525,665,603,924,283,487,457,285,0
2526,734,727,249,220,957,306,445,0
2527,195,906,105,360,779,451,544,1
2528,233,21,720,160,134,302,762,1
2529,194,324,895,511,505,850,637,0
2530,579,357,737,990,805,538,131,1
2531,914,694,129,633,616,743,271,0
2532,91,147,364,187,83,657,953,1
2533,94,631,259,968,597,170,988,0
2534,457,245,924,297,341,336,378,0
2535,158,786,340,912,548,797,80,0
2536,300,679,468,900,946,23,120,0
2537,420,593,904,608,7,383,36,1
2538,721,427,816,265,528,76,800,0
2539,317,698,184,653,725,612,674,0
2540,497,950,49,599,369,402,711,1
2541,43,452,832,553,382,916,705,1
2542,498,740,658,875,227,839,622,0
2543,234,828,390,434,968,755,443,0
2544,219,329,451,334,765,289,713,0
2545,862,472,96,538,425,808,816,1
2546,562,365,900,859,515,922,195,0
2547,617,754,619,682,79,448,708,0
2548,807,424,464,719,206,303,912,1
2549,522,332,666,445,503,72,518,1
2550,455,841,382,321,154,811,459,0
2551,4,475,406,433,506,613,601,0
2552,698,147,245,147,887,997,834,0
2553,584,809,943,623,866,308,723,1
2554,550,986,929,744,214,564,788,0
2555,576,169,307,200,641,300,994,0
2556,555,481,681,864,472,236,404,1
2557,111,126,79,746,916,823,588,1
2558,792,541,756,761,467,492,310,1
2559,313,655,91,988,67,112,94,0
2560,583,643,391,248,345,103,799,0
2561,944,763,97,797,81,404,4,1
2562,496,10,518,363,138,708,329,0
2563,291,693,858,153,927,469,194,1
2564,536,572,520,64,508,187,842,1
2565,230,653,374,867,550,716,760,0
2566,296,687,367,903,649,526,199,0
2567,652,151,793,674,584,326,281,0
2568,935,463,632,420,224,667,667,1
2569,768,981,164,672,390,379,338,0
2570,410,951,675,423,195,898,292,0
2571,624,15,984,230,248,567,988,1
2572,920,71,277,837,271,700,871,0
2573,763,545,887,769,376,506,12,1
2574,721,13,393,86,767,825,891,0
2575,297,725,803,50,580,330,849,0
2576,411,105,345,31,485,428,13,1
2577,260,680,591,223,693,799,242,1
2578,943,674,382,880,951,157,581,0
2579,293,135,232,315,320,355,563,0
2580,471,240,349,699,245,465,273,1
2581,96,480,48,203,921,610,636,1
2582,372,155,382,918,392,984,823,1
2583,626,297,809,812,837,19,268,0
2584,112,160,398,957,316,488,500,1
2585,745,308,652,644,3,517,169,1
2586,243,285,217,247,909,98,237,0
2587,26,554,827,608,289,22,634,1
2588,883,54,376,832,300,869,862,1
2589,802,99,463,761,263,859,74,1
2590,399,945,738,931,904,817,252,0
2591,705,651,572,264,927,339,211,0
2592,324,324,307,497,983,519,524,1
2593,164,766,863,58,679,132,124,1
2594,940,686,361,864,118,961,49,1
2595,213,68,598,916,214,406,899,0
2596,878,446,183,626,746,357,284,0
2597,365,0,968,831,460,844,627,0
2598,389,694,125,950,501,182,952,1
2599,259,191,812,575,623,227,138,0
2600,50,452,804,644,458,237,180,0
2601,24,349,158,868,129,904,557,1
2602,218,509,769,435,74,92,557,0
2603,85,350,226,967,639,655,436,1
2604,816,707,437,371,508,656,405,1
2605,996,93,995,700,145,507,560,1
2606,764,695,48,810,198,901,696,1
2607,116,622,152,262,543,545,142,1
2608,890,792,842,409,414,583,250,0
2609,735,433,631,882,286,721,373,0
2610,219,666,315,222,453,584,717,1
2611,446,438,495,859,923,285,287,1
2612,373,360,429,377,625,848,93,1
2613,762,193,585,612,186,729,860,1
2614,825,292,796,965,319,33,642,0
2615,859,704,743,146,176,417,741,0
2616,627,163,539,249,527,541,802,0
2617,771,578,414,682,691,868,730,1
2618,25,146,317,601,894,404,501,0
2619,774,539,225,383,628,105,149,0
2620,690,342,122,640,801,671,809,1
2621,322,749,602,787,563,230,350,1
2622,171,64,824,196,455,775,272,0
2623,13,843,619,438,921,7,212,0
2624,546,943,673,520,619,118,653,0
2625,395,997,876,691,437,692,80,1
2626,572,920,694,604,395,853,689,0
2627,256,62,998,815,423,504,550,0
2628,142,966,952,307,373,640,295,1
2629,311,82,837,325,38,832,219,1
2630,222,807,945,53,198,582,201,0
2631,703,853,828,985,677,939,617,0
2632,761,39,950,195,954,192,134,0
2633,846,538,626,47,152,90,303,1
2634,832,655,43,433,522,782,572,0
2635,417,588,534,783,885,622,807,1
2636,228,988,408,635,115,271,657,1
2637,862,762,337,240,742,735,248,1
2638,341,525,56,848,783,108,432,1
2639,63,2,606,894,629,606,928,0
2640,220,742,173,127,142,60,256,1
2641,760,146,287,1,66,726,136,0
2642,328,883,665,18,344,680,467,0
2643,20,800,133,297,452,631,172,1
2644,943,255,871,128,359,816,394,1
2645,847,406,164,497,724,690,864,1
2646,13,867,557,333,901,594,302,1
2647,62,313,771,979,275,54,100,1
2648,218,468,53,778,781,119,121,1
2649,631,739,351,130,113,336,491,0
2650,268,761,792,129,638,111,596,1
2651,199,59,973,546,819,502,287,0
2652,800,955,816,274,875,577,640,1
2653,936,944,468,571,994,794,830,1
2654,91,793,424,209,304,331,624,1
2655,155,135,793,867,540,800,802,1
2656,76,57,416,979,653,980,165,0
2657,809,740,592,254,883,873,462,0
2658,868,566,389,131,255,287,146,1
2659,313,655,966,14,241,696,628,1
2660,121,671,785,936,997,307,628,0
2661,349,25,329,351,633,38,352,0
2662,746,119,394,911,595,623,190,1
2663,31,593,104,507,74,668,124,0
2664,430,900,586,753,312,798,767,1
2665,598,160,441,144,883,642,329,0
2666,848,271,703,461,725,625,173,0
2667,690,574,805,760,746,129,652,0
2668,317,400,300,41,326,874,468,0
2669,814,201,779,983,172,15,544,0
2670,44,813,386,553,68,280,936,0
2671,265,894,213,602,827,629,187,0
2672,236,991,740,456,928,169,818,0
2673,199,345,973,36,560,919,183,0
2674,41,325,706,662,744,865,920,1
2675,865,671,860,418,387,394,463,0
2676,443,45,911,29,286,569,965,0
2677,228,984,304,585,336,497,739,1
2678,34,420,894,900,23,471,915,0
2679,506,773,808,348,505,327,87,1
2680,936,390,339,848,361,483,476,1
2681,317,740,376,320,815,860,183,1
2682,288,111,981,651,549,79,272,1
2683,403,403,594,12,272,496,179,1
2684,23,966,266,677,619,922,935,0
2685,818,32,761,999,61,722,812,1
2686,654,19,998,530,569,898,735,0
2687,107,691,853,303,979,933,378,1
2688,234,341,274,122,837,428,262,0
2689,524,549,967,971,664,525,169,0
2690,794,179,31,222,229,663,681,1
2691,410,883,456,539,364,218,40,0
2692,163,66,771,428,265,852,165,0
2693,868,995,715,404,450,815,101,0
2694,876,81,929,204,970,310,682,0
2695,940,696,640,535,640,649,923,0
2696,412,621,578,644,703,637,657,1
2697,566,894,637,265,849,622,890,0
2698,622,573,440,268,924,661,976,0
2699,129,278,730,651,633,321,654,0
2700,347,568,851,35,95,61,817,0
2701,902,807,530,309,139,915,108,0
2702,430,52,232,47,951,676,522,0
2703,749,167,285,227,798,466,527,0
2704,744,222,718,706,782,648,913,0
2705,15,384,196,553,750,794,617,0
2706,505,993,667,69,331,683,679,1
2707,217,898,827,936,909,799,520,1
2708,27,562,648,669,934,48,256,1
2709,536,87,284,42,328,401,227,0
2710,665,67,469,637,458,134,608,1
2711,640,907,970,56,637,910,244,0
2712,341,498,182,232,564,504,769,0
2713,392,214,570,963,915,343,681,0
2714,656,522,259,441,248,831,123,1
2715,56,234,798,155,559,755,706,1
2716,474,521,321,895,172,543,193,1
2717,117,301,337,144,231,48,315,0
2718,415,268,655,649,197,864,461,0
2719,229,849,74,84,179,434,241,1
2720,731,97,60,877,460,442,202,1
2721,94,289,794,836,60,415,405,0
2722,217,520,648,571,487,511,944,0
2723,952,962,144,649,319,83,107,1
2724,463,248,345,603,528,68,222,0
2725,475,35,469,63,141,942,68,1
2726,416,614,104,652,411,199,221,1
2727,972,841,680,750,528,842,904,1
2728,329,208,226,985,830,934,618,0
2729,880,176,320,775,772,478,935,1
2730,772,297,409,269,166,732,252,0
2731,451,158,48,603,137,741,773,1
2732,489,527,270,16,863,558,397,0
2733,256,131,774,485,974,187,241,1
2734,386,881,942,565,769,2,961,0
2735,11,894,722,14,908,579,232,0
2736,404,312,42,524,720,504,96,0
2737,879,973,513,299,636,909,908,1
2738,590,288,954,305,563,810,981,1
2739,273,601,812,622,610,626,615,1
2740,542,456,963,4,480,647,783,1
2741,334,733,268,273,526,814,435,1
2742,701,19,919,829,944,261,760,0
2743,765,131,531,817,589,190,793,0
2744,1,694,88,601,278,787,415,1
2745,154,382,935,392,60,109,496,0
2746,578,892,189,96,834,951,383,0
2747,934,395,630,520,812,650,443,0
2748,804,6,819,852,290,415,934,0
2749,520,206,974,836,973,615,875,0
2750,856,834,409,858,84,903,652,0
2751,17,747,865,893,412,45,241,1
2752,93,57,370,38,361,535,429,0
2753,274,177,331,572,156,819,883,1
2754,450,45,847,242,520,309,305,1
2755,513,549,38,471,616,876,553,0
2756,946,347,183,519,228,261,289,1
2757,557,474,783,336,369,710,9,1
2758,61,719,286,538,34,585,174,1
2759,72,75,225,802,196,423,903,1
2760,669,584,281,312,85,377,995,0
2761,150,420,391,778,972,972,573,1
2762,150,970,518,796,677,297,804,1
2763,771,272,820,776,357,190,682,1
2764,220,605,382,369,662,563,454,1
2765,388,55,541,194,475,220,749,1
2766,938,917,902,801,287,295,533,0
2767,342,763,792,819,362,4,969,0
2768,924,998,49,689,191,895,997,1
2769,774,878,50,763,979,687,275,0
2770,325,528,413,123,695,573,311,1
2771,589,66,164,294,245,199,583,1
2772,528,279,671,204,719,899,734,0
2773,82,684,584,340,412,704,176,1
2774,613,518,732,641,212,241,243,0
2775,986,272,977,41,735,181,228,1
2776,995,949,456,356,262,146,106,0
2777,994,956,339,717,184,92,421,0
2778,36,615,86,761,18,167,747,0
2779,142,760,932,42,86,544,415,1
2780,60,863,512,333,176,720,33,0
2781,967,490,715,796,637,660,327,0
2782,80,988,560,204,535,763,729,0
2783,665,74,310,773,809,269,575,1
2784,989,799,148,84,26,173,920,0
2785,277,276,299,828,140,380,400,1
2786,35,812,679,622,923,874,675,0
2787,575,779,18,891,25,881,979,0
2788,791,668,412,260,863,884,255,1
2789,313,168,755,917,692,335,573,0
2790,362,424,716,388,717,172,659,1
2791,144,332,157,968,944,868,619,1
2792,956,552,828,123,406,971,511,1
2793,318,808,933,322,408,965,306,0
2794,416,649,942,697,185,834,807,0
2795,930,6,471,125,720,725,137,0
2796,329,608,73,902,627,510,387,0
2797,198,996,523,676,300,480,205,1
2798,440,540,813,186,278,326,843,1
2799,974,753,481,378,136,521,975,0
2800,235,502,233,664,242,709,810,0
2801,876,592,48,658,648,733,251,0
2802,614,544,663,535,37,986,414,0
2803,178,492,28,792,653,381,148,0
2804,639,729,732,764,312,189,982,1
2805,584,111,447,681,165,697,166,0
2806,570,247,168,849,166,358,465,1
2807,646,987,641,411,447,366,568,0
2808,803,595,294,413,595,737,921,0
2809,89,630,650,913,612,761,733,1
2810,463,459,992,827,265,516,292,0
2811,87,45,842,733,8,777,95,1
2812,212,39,585,275,454,795,301,0
2813,691,548,392,376,427,136,167,1
2814,422,491,419,203,721,546,975,1
2815,378,549,630,492,470,79,712,1
2816,879,995,628,210,615,985,921,0
2817,850,784,781,516,334,292,950,0
2818,731,53,618,263,911,748,201,1
2819,494,526,811,413,658,299,437,1
2820,852,751,609,305,796,491,741,1
2821,577,598,59,845,382,274,851,0
2822,370,341,220,750,763,262,828,0
2823,616,426,442,922,642,523,711,0
2824,410,229,829,389,593,899,100,1
2825,9,31,64,979,158,794,688,1
2826,568,402,841,678,603,856,201,0
2827,67,759,380,667,101,175,814,0
2828,649,210,840,446,213,840,810,1
2829,856,541,949,500,707,309,562,0
2830,859,630,134,507,8,774,738,1
2831,316,340,481,687,74,437,166,0
2832,404,114,488,122,7,586,514,0
2833,25,885,609,302,211,763,395,1
2834,752,714,837,664,650,809,453,0
2835,705,32,36,382,214,966,382,1
2836,51,287,436,356,145,326,761,0
2837,193,866,673,430,676,507,302,0
2838,707,582,393,138,210,13,14,0
2839,650,614,265,625,588,641,56,0
2840,329,12,478,519,720,777,85,0
2841,335,973,676,339,436,308,121,1
2842,787,226,969,60,87,402,317,1
2843,786,859,464,551,379,735,5,1
2844,741,664,405,324,275,532,301,1
2845,687,70,951,736,850,178,674,0
2846,129,583,832,347,646,538,810,1
2847,412,582,845,376,708,786,440,1
2848,969,794,521,677,420,458,102,1
2849,914,710,977,509,226,791,631,0
2850,252,23,543,311,571,344,985,1
2851,811,453,840,579,762,541,236,1
2852,452,440,824,429,221,819,616,1
2853,907,296,490,456,474,705,893,1
2854,221,125,419,546,502,217,682,0
2855,798,909,868,489,152,790,345,1
2856,865,641,221,683,789,786,472,0
2857,719,596,558,668,115,152,124,0
2858,585,595,352,692,504,918,220,0
2859,683,247,627,763,992,31,520,1
2860,702,417,179,469,935,328,36,0
2861,209,66,388,309,959,158,71,1
2862,220,203,786,170,439,39,104,1
2863,959,966,633,725,556,775,479,0
2864,260,652,109,265,642,103,121,1
2865,885,671,710,619,248,209,818,1
2866,485,665,753,83,885,883,167,0
2867,376,910,492,264,931,685,102,0
2868,542,814,384,559,742,770,945,0
2869,557,115,945,964,337,356,739,0
2870,988,390,343,870,455,101,674,0
2871,203,433,603,517,147,238,742,1
2872,45,621,499,446,41,658,774,1
2873,994,597,670,726,554,868,853,0
2874,328,513,494,301,592,761,214,0
2875,383,915,749,384,21,24,545,0
2876,717,344,358,321,334,962,529,0
2877,218,542,160,772,776,608,740,0
2878,937,624,843,288,716,276,340,1
2879,980,257,308,734,157,16,467,1
2880,937,444,614,716,810,789,260,1
2881,51,986,844,951,759,483,982,0
2882,512,311,68,670,225,620,252,1
2883,464,446,113,735,880,816,337,0
2884,811,843,653,970,476,693,731,1
2885,153,862,177,232,252,48,408,1
2886,784,409,866,996,482,663,423,1
2887,5,49,668,841,289,949,556,0
2888,352,784,516,276,87,373,395,0
2889,749,880,893,81,922,590,558,1
2890,751,405,314,110,568,77,372,1
2891,442,870,386,386,431,220,27,1
2892,795,195,313,382,259,58,500,0
2893,695,452,727,526,567,489,271,1
2894,845,500,34,13,877,556,85,0
2895,591,130,303,845,47,709,738,1
2896,959,974,222,542,125,608,787,1
2897,362,506,532,699,378,842,366,1
2898,681,335,757,504,294,934,676,0
2899,612,713,969,27,956,759,430,0
2900,835,29,590,520,295,619,584,1
2901,763,347,262,59,656,468,363,1
2902,946,429,813,741,35,309,270,0
2903,701,897,22,116,221,404,400,1
2904,51,12,127,61,737,549,713,0
2905,674,411,213,499,391,106,157,1
2906,56,548,423,756,675,71,254,1
2907,752,573,41,423,611,312,596,1
2908,699,543,425,613,824,33,271,1
2909,315,159,468,858,907,961,206,1
2910,277,624,935,861,873,719,758,0
2911,972,6,26,621,678,567,699,1
2912,906,901,790,220,139,354,815,0
2913,105,398,596,103,90,347,436,0
2914,753,491,832,556,174,864,660,1
2915,282,515,944,767,412,515,426,1
2916,500,115,421,222,669,2,59,1
2917,710,269,396,977,535,639,418,0
2918,751,777,356,377,168,503,381,1
2919,461,160,279,925,394,183,593,1
2920,105,89,767,20,290,610,741,0
2921,904,531,797,334,339,937,339,1
2922,440,722,368,654,863,657,789,0
2923,809,255,815,783,772,895,438,0
2924,271,921,911,312,777,498,352,0
2925,464,862,647,736,980,281,840,0
2926,663,496,196,7,778,617,355,1
2927,52,333,405,929,577,14,732,1
2928,240,984,19,329,134,938,829,1
2929,770,218,544,14,276,597,327,0
2930,5,464,484,90,739,497,5,1
2931,731,402,358,173,830,695,210,1
2932,272,63,741,865,504,385,866,0
2933,967,70,184,775,649,323,985,1
2934,441,754,118,986,231,407,572,0
2935,283,715,532,596,240,963,555,0
2936,518,362,598,253,588,836,418,1
2937,472,317,551,380,23,401,153,0
2938,758,326,664,891,813,781,672,1
2939,723,142,409,751,385,777,991,0
2940,717,797,463,648,740,707,291,0
2941,226,772,717,227,189,679,209,0
2942,375,221,224,463,141,87,99,1
2943,295,582,960,178,375,893,973,1
2944,74,69,678,847,882,182,498,0
2945,25,684,720,784,290,464,897,1
2946,583,782,15,92,797,823,705,1
2947,398,782,490,516,27,251,645,0
2948,253,506,206,884,295,392,31,1
2949,598,689,681,13,743,214,993,0
2950,876,77,23,451,784,498,19,1
2951,603,663,861,330,714,829,203,1
2952,116,35,171,850,636,608,441,1
2953,841,50,951,565,640,440,729,0
2954,833,90,381,913,102,561,792,0
2955,521,936,861,268,891,469,887,0
2956,659,932,530,39,293,656,462,1
2957,694,238,434,667,744,607,647,1
2958,232,286,158,294,225,509,621,1
2959,750,486,140,185,528,23,588,1
2960,116,105,193,396,55,257,452,1
2961,555,310,319,646,46,627,651,1
2962,950,350,875,727,783,824,810,1
2963,90,529,402,184,227,32,837,0
2964,761,264,264,224,236,55,11,1
2965,304,472,960,889,901,303,657,1
2966,510,576,2,768,498,312,755,0
2967,374,541,682,348,362,506,372,0
2968,678,862,214,660,209,217,964,1
2969,194,208,988,923,425,101,992,0
2970,243,212,867,234,226,297,567,1
2971,776,404,554,37,430,170,719,1
2972,9,431,11,750,852,179,595,0
2973,34,776,880,60,710,291,15,1
2974,179,804,594,167,583,203,944,1
2975,902,375,728,583,294,927,802,0
2976,340,673,894,220,66,207,978,0
2977,918,185,707,170,383,224,847,0
2978,26,733,716,386,46,619,21,0
2979,272,115,297,954,154,685,285,1
2980,99,566,530,859,48,804,65,0
2981,589,839,292,649,847,561,240,1
2982,240,88,557,636,599,450,240,1
2983,760,644,26,831,485,111,138,0
2984,53,578,134,130,957,217,841,1
2985,753,72,130,835,734,334,619,0
2986,445,983,568,542,147,381,163,1
2987,152,628,657,624,634,223,243,1
2988,931,247,314,172,152,467,2,0
2989,568,87,468,533,335,53,750,1
2990,163,885,233,100,442,877,700,0
2991,740,792,251,791,368,26,958,0
2992,831,16,206,754,600,796,10,1
2993,726,80,13,965,626,373,460,0
2994,131,129,560,266,257,782,174,0
2995,44,777,728,785,790,754,931,0
2996,908,101,940,516,577,69,109,1
2997,869,81,807,505,472,31,174,0
2998,293,687,643,880,935,230,375,0
2999,50,210,206,866,756,868,200,0
3000,227,288,303,514,219,795,4,1
3001,731,662,948,745,53,842,329,0
3002,923,197,912,353,250,488,166,0
3003,397,92,493,986,107,375,162,0
3004,905,667,650,283,650,982,744,1
3005,843,96,282,747,659,91,73,0
3006,922,765,17,274,2,661,666,0
3007,766,266,757,929,56,891,115,0
3008,103,546,28,677,493,988,398,0
3009,706,774,110,344,340,572,154,0
3010,126,799,731,498,464,262,621,0
3011,63,394,806,518,258,925,986,1
3012,435,734,843,304,132,73,517,1
3013,964,198,780,733,50,544,112,1
3014,0,439,356,678,597,209,394,1
3015,523,252,43,333,380,531,120,1
3016,407,144,118,661,121,700,188,0
3017,123,668,216,595,73,176,27,1
3018,554,573,586,74,654,623,460,1
3019,862,486,807,790,354,509,173,0
3020,800,39,672,52,368,484,143,0
3021,842,982,115,856,249,298,813,0
3022,815,207,183,94,797,956,442,0
3023,422,446,181,690,42,877,555,1
3024,987,804,824,305,596,291,978,1
3025,443,553,991,219,172,60,820,0
3026,734,23,650,681,325,981,842,1
3027,270,994,500,911,531,736,370,1
3028,234,33,812,405,896,209,522,1
3029,237,252,325,442,9,854,386,0
3030,963,946,505,525,697,70,304,1
3031,492,686,16,792,703,712,732,0
3032,659,893,539,504,935,494,511,0
3033,922,968,301,633,395,765,869,0
3034,661,606,198,84,925,34,634,1
3035,512,356,498,513,712,424,372,0
3036,496,967,242,254,96,393,133,0
3037,883,970,276,130,542,701,349,1
3038,656,835,864,996,772,305,174,0
3039,827,973,837,50,714,830,363,1
3040,533,289,824,489,958,972,385,0
3041,204,53,587,577,518,460,836,1
3042,234,482,827,671,791,935,958,0
3043,299,443,148,227,208,580,578,1
3044,950,192,35,315,505,733,591,1
3045,741,933,517,62,560,991,754,0
3046,590,821,842,390,102,215,972,0
3047,658,386,391,596,575,162,11,0
3048,52,36,627,896,401,267,33,1
3049,109,838,548,85,532,679,14,0
3050,677,612,91,457,239,623,449,0
3051,88,456,245,935,716,704,155,1
3052,281,575,34,771,312,935,65,0
3053,462,480,197,841,627,703,183,0
3054,758,760,750,202,299,663,270,0
3055,52,430,447,104,823,781,709,0
3056,464,507,795,271,933,883,190,0
3057,901,556,773,305,869,302,284,0
3058,458,64,787,400,710,272,586,1
3059,58,207,939,24,777,150,780,0
3060,917,828,417,438,180,31,912,1
3061,613,665,342,478,158,580,236,1
3062,808,287,333,499,795,753,644,0
3063,582,573,319,166,843,739,733,1
3064,654,42,144,971,304,300,589,1
3065,424,713,524,320,737,799,161,1
3066,374,32,737,658,409,915,420,1
3067,319,875,480,924,910,784,847,0
3068,626,413,405,722,986,430,136,0
3069,191,215,805,100,598,317,22,1
3070,753,60,919,193,266,617,235,1
3071,256,494,652,28,879,690,882,0
3072,516,82,649,567,923,488,379,1
3073,779,601,41,996,716,514,26,1
3074,269,329,801,481,979,553,1,0
3075,857,256,57,686,529,329,396,1
3076,303,36,752,358,305,265,73,0
3077,469,44,42,738,604,666,344,1
3078,204,217,676,929,835,191,242,0
3079,473,813,330,58,295,143,857,0
3080,976,808,768,369,827,861,34,0
3081,152,147,159,681,320,672,949,1
3082,238,784,998,726,583,40,602,1
3083,191,321,914,605,766,591,358,1
3084,244,57,451,13,647,519,690,0
3085,231,206,453,285,518,291,557,1
3086,268,181,559,720,884,339,296,0
3087,168,179,275,423,511,992,223,1
3088,927,434,703,565,99,788,49,0
3089,436,714,278,782,272,337,340,1
3090,271,466,614,158,659,503,305,1
3091,629,562,204,283,786,883,259,1
3092,611,552,454,133,475,859,570,0
3093,861,774,613,503,986,603,551,1
3094,273,206,794,357,568,904,655,0
3095,706,63,636,207,864,656,403,0
3096,209,542,665,871,583,779,280,0
3097,510,314,883,686,946,128,996,0
3098,268,521,714,742,117,167,334,1
3099,98,751,191,304,675,220,436,0
3100,412,158,18,290,462,932,974,1
3101,432,14,418,754,417,946,204,1
3102,459,947,687,464,685,132,347,0
3103,759,927,416,249,912,403,478,0
3104,57,98,168,414,34,3,581,0
3105,193,71,929,555,447,816,81,0
3106,267,988,709,60,452,583,633,0
3107,781,882,803,352,964,437,142,1
3108,672,934,303,26,232,791,711,0
3109,380,456,581,781,37,166,901,1
3110,658,467,993,470,474,379,736,0
3111,740,528,10,304,125,799,48,0
3112,740,707,97,832,399,685,129,1
3113,4,436,728,775,926,519,334,1
3114,573,30,672,589,796,329,399,0
3115,775,89,320,707,35,570,487,0
3116,283,713,335,552,828,909,814,1
3117,259,948,715,899,505,355,230,0
3118,158,722,905,517,770,624,971,1
3119,791,882,613,229,363,328,170,0
3120,220,974,375,794,887,782,676,1
3121,828,893,124,883,50,395,681,1
3122,42,559,637,276,860,441,889,0
3123,86,620,243,287,328,740,194,1
3124,599,56,673,439,301,430,463,1
3125,962,597,126,223,280,960,191,1
3126,597,968,963,692,287,897,467,1
3127,159,845,365,581,224,732,972,1
3128,372,964,524,780,165,61,43,0
3129,137,627,196,881,118,954,24,0
3130,331,113,775,134,570,826,245,1
3131,341,865,179,30,491,369,41,0
3132,973,434,422,113,574,135,722,0
3133,17,471,39,438,658,167,422,0
3134,517,838,42,518,161,310,36,1
3135,447,266,622,389,357,86,654,0
3136,522,636,198,106,234,800,167,0
3137,357,191,4,397,592,693,951,1
3138,374,798,72,611,885,215,303,0
3139,427,91,184,680,531,532,987,1
3140,952,978,138,224,499,935,806,0
3141,167,432,311,396,318,597,358,0
3142,787,304,155,399,148,287,885,0
3143,90,538,474,827,937,214,392,1
3144,70,551,154,424,842,673,996,1
3145,10,485,593,702,52,774,634,1
3146,22,968,615,315,922,275,323,1
3147,960,160,487,641,864,800,325,1
3148,645,167,462,15,984,306,77,0
3149,717,139,18,320,42,616,980,1
3150,1,354,175,228,337,653,481,0
3151,981,497,694,256,680,674,146,0
3152,423,352,368,659,666,504,497,0
3153,428,909,740,69,205,234,148,1
3154,369,776,798,114,495,435,698,1
3155,810,729,804,725,691,848,562,0
3156,785,57,584,131,357,649,575,1
3157,999,373,619,361,474,276,332,1
3158,133,608,377,962,667,210,812,0
3159,495,914,987,831,750,691,943,1
3160,307,54,48,897,735,195,842,1
3161,216,739,914,239,218,280,515,1
3162,112,332,820,865,388,559,747,0
3163,143,293,875,96,495,18,465,1
3164,329,234,184,154,369,659,213,1
3165,292,369,605,178,643,893,977,1
3166,650,307,252,765,533,137,881,0
3167,425,171,953,251,312,876,140,0
3168,986,520,209,185,741,883,359,1
3169,404,822,666,5,308,944,973,1
3170,672,682,142,837,248,634,748,1
3171,434,663,805,294,909,631,308,1
3172,232,609,563,384,877,408,719,0
3173,465,807,338,777,760,557,688,0
3174,732,3,8,156,30,954,173,1
3175,700,681,186,344,639,969,754,1
3176,934,93,198,567,635,74,869,1
3177,641,797,599,285,402,303,271,0
3178,861,321,415,876,572,861,413,0
3179,260,146,176,906,102,930,201,0
3180,76,405,85,642,306,843,388,0
3181,846,404,14,729,285,643,95,1
3182,255,85,363,493,251,169,630,0
3183,801,365,458,956,523,256,804,0
3184,128,17,828,888,852,524,723,0
3185,710,602,909,338,894,259,437,1
3186,572,107,265,852,962,806,474,1
3187,821,576,86,89,212,322,197,0
3188,902,889,529,78,696,132,474,0
3189,5,369,581,749,91,473,92,1
3190,196,757,713,190,696,572,902,0
3191,292,754,650,663,815,923,893,0
3192,838,634,663,715,775,36,808,0
3193,239,297,203,617,365,490,887,1
3194,442,177,112,352,399,994,85,1
3195,294,506,808,877,281,531,320,1
3196,0,133,952,978,637,652,107,0
3197,220,207,729,277,112,746,593,1
3198,217,503,455,268,948,125,745,0
3199,400,323,388,421,163,677,314,1
3200,509,853,530,1,707,765,73,1
3201,113,89,557,555,771,315,506,1
3202,533,311,167,866,185,723,791,1
3203,7,894,48,942,126,33,627,1
3204,557,661,574,489,913,718,232,0
3205,500,324,677,114,876,31,530,0
3206,495,659,148,314,147,585,855,1
3207,729,584,433,572,163,718,967,0
3208,676,588,115,385,331,329,584,0
3209,481,643,651,635,319,128,498,1
3210,999,232,219,946,595,995,713,1
3211,829,531,142,387,813,879,6,0
3212,270,853,106,896,332,793,347,1
3213,483,222,963,354,845,432,292,0
